id,ingestion_date,link,date,post_message,like,comments,saved,share,engagement,video_views,reach,impression,type,username
8495879833,25 May 2023,https://www.instagram.com/p/Co4wPXXJjku/,2/20/23 14:00,"Serial yang diangkat dari kisah nyata, tentang musibah tsunami 2011 yang memakan korban pembangkit listrik tenaga nuklir Fukushima dari tiga sudut pandang. The Days, akan tayang tahun ini!","10,865",71,15,134,"11,085","1,424","2,372,168","3,392,200",Reels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/p/Co4ihdsJevl/,2/20/23 12:00,"?? Begini nasib, jadi third wheeler~","2,588",21,26,91,"2,726","1,739","466,859","840,346",Videos,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/Co4UwKhp1uw/,2/20/23 10:00,"Udah akrab gini, apakah Jae-woo bakal berujung jadi adik ipar-nya Chi-yeol???","1,494",14,113,67,"1,688",0,"190,069","334,521",Picture,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/Co4HBkaJm_Y/,2/20/23 8:00,"Diajak main Alphabet Challenge pake huruf D-E-A-R-D-A-V-I-D, ternyata para cast Dear David bisa ngasih jawaban-jawaban yang tak terduga, guys. Tonton deh sampe abis!","1,271",10,39,,"1,405","1,409","314,446","455,947",Reels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/p/Co35ZDtJYai/,2/20/23 6:00,Besok kita buka bareng-bareng gaes suratnya!,"19,829",412,91,117,"20,449",0,"1,518,338","2,307,874",Carousels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/p/Co3rkZzr0VB/,2/20/23 4:00,Aku tantang kamu buat ngasih nama panggilan buat Joe di season 4 ini ??,"1,192",21,73,65,"1,351","1,803","265,235","347,458",Videos,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/Co19xh9SmgH/,2/19/23 12:01,"Sebuah aplikasi maut meneror sekelompok remaja eksentrik ketika musim panas! Tonton serial Red Rose, sekarang!","1,867",30,116,60,"2,073","1,234","392,409","659,247",Reels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/Co1wApptf6Q/,2/19/23 10:00,"Kalo Joe riset tentang kamu, kira-kira dia bakal nemuin apa aja tuh? ??","2,072",37,,185,"2,457",0,"286,093","434,861",Carousels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/Co1iPb4skLB/,2/19/23 8:00,Pengen banget salim sama translator-nya ??,"13,701",249,123,144,"14,217",0,"2,634,410","3,951,615",Picture,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/Co1UiNgpHPE/,2/19/23 6:00,"Ada yang guling-guling, ada yang terjun, ada yang merosot. Ada apa sih sebenernya??

Sabar, tunggu tanggal mainnya ??","8,043",74,12,198,"8,327","1,348","1,168,721","1,414,152",Reels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/Co1GyeGvVVj/,2/19/23 4:00,"Enam kesatria — Ultraman, Seven, Ace, Zoffy, Jack, dan Taro — bakal menghabiskan pertarungan mereka melawan alien! Tonton season terakhir “Ultraman”, yang akan tayang tahun 2023 ini!","6,037",40,96,69,"6,242","2,064","1,095,447","1,489,808",Videos,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/CozY9X3pe2v/,2/18/23 12:01,"Nick Lachey ngumpulin para pemain dari berbagai serial reality show di Netflix, buat jadi pasangan dan saling bersaing di Perfect Match! Tonton sekarang!","1,983",29,102,144,"2,258",0,"180,527","245,517",Carousels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/CozLK4DBukS/,2/18/23 10:00,"Buat fans-nya Bodyguard, The Recruit, dan 24, wajib nonton THE NIGHT AGENT. Tayang 23 Maret di Netflix.","3,286",26,4,67,"3,383",0,"315,735","495,704",Picture,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/Coy9cNMBR8C/,2/18/23 8:00,"Apa bener Retsuko maju jadi politikus? Dan gimana nasib Haida setelah resign dari kantornya? Tonton di Aggretsuko Season 5, yang sudah tayang, sekarang!","1,317",9,57,122,"1,505",0,"79,344","148,373",Carousels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/CoyvyVAMm7H/,2/18/23 6:01,"Hayo apa coba persamaan mereka? Silakan diulang-ulang sampe pegel. Sambil tunggu tanggal mainnya, bakal ada apa yaa? ??","14,552",249,145,181,"15,127","1,207","1,369,510","2,670,545",Reels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/Coyh-cNh5tc/,2/18/23 4:00,"Tonton petualangan Alina Starkov mencari kekuatan baru biar lebih mantep waktu bertarung lagi melawan Kirigan. Tandain dari sekarang, serial Shadow and Bone Season 2, tayang 16 Maret.","19,477",319,111,166,"20,073","1,010","2,423,041","4,094,939",Reels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/p/CoxB3LhuX39/,2/17/23 14:00,"Sembilan tahun lalu, pesawat MH370 yang hilang saat membawa 239 penumpang, menyisakan misteri.
Kita simak penelusurannya di serial dokumenter MH370: The Plane That Disappeared, tayang tanggal 8 Maret di Netflix.","47,406",385,34,47,"47,872",0,"7,076,439","8,916,313",Picture,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/Cow0LVCPJxT/,2/17/23 12:00,Suka banget nih keakrabannya “4 sekawan” ini ??,"11,011",96,49,96,"11,252",0,"1,620,851","2,560,945",Picture,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/Cowmcb9vpTL/,2/17/23 10:00,Kak lutesha kalo lagi nyelem jangan bawa-bawa Kentut Lucifer 3000 ya. Kasian nanti ikan-ikannya ??,"6,276",33,43,32,"6,384","1,547","1,472,818","1,914,663",Videos,Netflixid
8495879833,25 May 2023,https://www.instagram.com/p/CowYqgbvqZt/,2/17/23 8:00,"Gimana kelanjutan nasib Chun Woo-hee yang hidupnya jadi kacau gara-gara HP-nya di-hack Yim Si-wan? Tonton di film Unlocked, sekarang!","8,282",128,138,145,"8,693",0,"485,417","907,730",Carousels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/CowK5eJPdGs/,2/17/23 6:00,Salah satu bahan ovt aku tiap malem ??,"4,142",104,25,64,"4,335",0,"743,626","907,224",Picture,Netflixid
8495879833,25 May 2023,https://www.instagram.com/p/Cov9OayvAEK/,2/17/23 4:00,"Aku juga makin nggak sabar nih gaes, nungguin Dong-eun bakal berbuat apa ke geng tukang bully di The Glory Part 2, 10 Maret nanti!","34,450",350,120,30,"34,950",0,"1,964,540","3,850,498",Picture,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/CovvcxUhNE2/,2/17/23 2:00,"Naoki Urasawa ?? Osamu Tezuka
‘PLUTO’ akhirnya diadaptasi dari manga jadi anime, gaes!
Aku kasih dulu sneak peek-nya, sambil kamu tungguin tanggal tayangnya, ya!

#Pluto
#Pluto_Anime","6,317",67,195,184,"6,763","1,251","784,607","1,082,758",Reels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/p/CoudGkxSXGO/,2/16/23 14:00,"Malem Jumat enaknya nonton Chucky dan Tiffany beraksi bikin gara-gara! Film Seed of Chucky, sudah bisa kamu tonton sekarang! ??????","3,290",25,134,64,"3,513",0,"490,064","916,420",Carousels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/CouPXONygKa/,2/16/23 12:00,"Yang wallpaper HP sampe PP medsos-nya pake foto bias, coba ngumpul dulu di sini ??","17,861",368,22,45,"18,296",0,"1,143,866","1,956,011",Carousels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/CouBorSBWXD/,2/16/23 10:00,Nggak heran kalo Yun Sung-bin dapet julukan Iron Man ??????,"8,696",159,83,175,"9,113","1,896","1,629,894","2,200,357",Videos,Netflixid
8495879833,25 May 2023,https://www.instagram.com/p/Cotz4G0tO9B/,2/16/23 8:00,"Salah satu yang paling nyolong perhatian di film Dear David itu soundtracknya, setuju kan gaes? Nih, aku udah bikinin playlist biar bisa kamu dengerin. Langsung klik link di bio aku, ya.","3,658",93,172,105,"4,028","1,460","652,321","906,726",Reels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/p/CotmI7vAe5b/,2/16/23 6:00,"Yuk, ditulis tujuan hidupnya biar bisa didoain sama yang lain ??","3,617",97,83,76,"3,873",0,"272,930","346,621",Picture,Netflixid
8495879833,25 May 2023,https://www.instagram.com/p/CotYYZBrkhS/,2/16/23 4:00,"Saatnya merinding bareng nonton Naysila Mirdad dan bayinya yang dapet serangan-serangan gaib di film Inang. Sudah tayang di Netflix, sekarang!","12,421",166,58,38,"12,683",0,"1,138,426","1,741,792",Carousels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/CotKrraNjV8/,2/16/23 2:00,"Setelah jadi penjual lauk, sekarang Jeon Do-yeon bakal jadi pembunuh sekaligus seorang ibu. Aku juga nggak sabar nungguin film Kill Boksoon tayang 31 Maret nanti!","13,662",237,174,199,"14,272",0,"2,075,149","3,216,481",Carousels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/Cor_NA6tVul/,2/15/23 15:01,"Ituuu di akhir ada siapaa? ?????? Kita tunggu bareng-bareng kelanjutan kisah Joe di You Season 4 Part 2, tayang tanggal 9 Maret!","6,969",215,152,102,"7,438","2,464","564,732","824,509",Videos,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/Cor020hAi8_/,2/15/23 13:31,"Aku ikutan panik + pengen ngakak ngeliat para cast Dear David main Word Association sambil dikasih timer balon yang bakal meledak. Simak sampe abis, biar tau siapa yang berhasil selamat ??????","2,595",22,93,163,"2,873","1,881","590,343","791,060",Videos,Netflixid
8495879833,25 May 2023,https://www.instagram.com/p/CorqpWNP8wY/,2/15/23 12:01,"Abis liat gambar-gambar ini jadi penasaran ??
Siapa karakter favorit kamu film di Dear David? Laras, David, atau Dilla?","6,065",100,49,98,"6,312","1,029","1,362,212","2,574,581",Reels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/p/CorcxsIPglH/,2/15/23 10:00,"Setelah dibikin jungkir balik selama 16 episode sama The Interest of Love, nonton judul-judul ini biar rileks~","6,255",255,177,175,"6,862","2,141","1,579,468","2,353,407",Videos,Netflixid
8495879833,25 May 2023,https://www.instagram.com/p/CorPuY8vCJF/,2/15/23 8:05,"Mau ngasih selamat buat film Dear David. 
Belom ada seminggu, udah di puncak Top 10 Film Netflix di Indonesia aja nih ??????
IHIY~","9,635",357,58,172,"10,222","1,547","1,874,456","3,430,254",Videos,Netflixid
8495879833,25 May 2023,https://www.instagram.com/p/CorBVYPvCJ6/,2/15/23 6:00,"Janji nggak ""oma...omaga...""?","8,550",59,99,170,"8,878",0,"475,594","775,218",Picture,Netflixid
8495879833,25 May 2023,https://www.instagram.com/p/Coqzm8ivCGn/,2/15/23 4:00,"Seorang koki muda berbakat tiba-tiba terlempar ke masa lalu dan terperangkap dalam tubuh seorang ratu. Tonton gimana perjuangannya buat kembali ke kehidupan asli di drakor Mr. Queen, yang sudah tayang di Netflix, sekarang!","10,834",310,102,3,"11,249",0,"2,070,603","2,960,962",Carousels,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/Coql5R9SpGY/,2/15/23 2:00,"Aku undang kamu buat nonton sebuah kisah cinta yang mengubah dunia. Queen Charlotte: A Bridgerton Story, catet tanggal tayangnya, 4 Mei hanya di Netflix.","10,206",221,52,46,"10,525","1,998","2,159,885","3,412,618",Videos,Netflixid
8495879833,25 May 2023,https://www.instagram.com/reel/CopTh6MuKSs/,2/14/23 14:01,"Ketika seorang anak introvert harus nolongin bapaknya yang narsis berat dan perusahaannya dari bencana. Dibintangi sama bapak-anak beneran, Rob Lowe dan John Owen Lowe, serial Unstable tayang 30 Maret!",826,5,200,136,"1,167",0,"107,609","148,500",Picture,Netflixid
